series_id,year,period,date,value
LNS12000000,2024,M11,2024-11-01,161141.0
LNS12000000,2024,M10,2024-10-01,161496.0
LNS12000000,2024,M09,2024-09-01,161864.0
LNS12000000,2024,M08,2024-08-01,161434.0
LNS12000000,2024,M07,2024-07-01,161266.0
LNS12000000,2024,M06,2024-06-01,161199.0
LNS12000000,2024,M05,2024-05-01,161083.0
LNS12000000,2024,M04,2024-04-01,161491.0
LNS12000000,2024,M03,2024-03-01,161466.0
LNS12000000,2024,M02,2024-02-01,160968.0
LNS12000000,2024,M01,2024-01-01,161152.0
LNS12000000,2023,M12,2023-12-01,161183.0
LNS12000000,2023,M11,2023-11-01,161866.0
LNS12000000,2023,M10,2023-10-01,161280.0
LNS12000000,2023,M09,2023-09-01,161550.0
LNS12000000,2023,M08,2023-08-01,161500.0
LNS12000000,2023,M07,2023-07-01,161209.0
LNS12000000,2023,M06,2023-06-01,161004.0
LNS12000000,2023,M05,2023-05-01,160707.0
LNS12000000,2023,M04,2023-04-01,160962.0
LNS12000000,2023,M03,2023-03-01,160824.0
LNS12000000,2023,M02,2023-02-01,160301.0
LNS12000000,2023,M01,2023-01-01,160152.0
LNS12000000,2022,M12,2022-12-01,159300.0
LNS12000000,2022,M11,2022-11-01,158485.0
LNS12000000,2022,M10,2022-10-01,158729.0
LNS12000000,2022,M09,2022-09-01,158894.0
LNS12000000,2022,M08,2022-08-01,158758.0
LNS12000000,2022,M07,2022-07-01,158282.0
LNS12000000,2022,M06,2022-06-01,158116.0
LNS12000000,2022,M05,2022-05-01,158314.0
LNS12000000,2022,M04,2022-04-01,157888.0
LNS12000000,2022,M03,2022-03-01,158219.0
LNS12000000,2022,M02,2022-02-01,157528.0
LNS12000000,2022,M01,2022-01-01,157066.0
LNS12000000,2021,M12,2021-12-01,156124.0
LNS12000000,2021,M11,2021-11-01,155508.0
LNS12000000,2021,M10,2021-10-01,154504.0
LNS12000000,2021,M09,2021-09-01,153909.0
LNS12000000,2021,M08,2021-08-01,153270.0
LNS12000000,2021,M07,2021-07-01,152789.0
LNS12000000,2021,M06,2021-06-01,151747.0
LNS12000000,2021,M05,2021-05-01,151487.0
LNS12000000,2021,M04,2021-04-01,151083.0
LNS12000000,2021,M03,2021-03-01,150660.0
LNS12000000,2021,M02,2021-02-01,150140.0
LNS12000000,2021,M01,2021-01-01,149817.0
LNS12000000,2020,M12,2020-12-01,149989.0
LNS12000000,2020,M11,2020-11-01,149914.0
LNS12000000,2020,M10,2020-10-01,149949.0
LNS12000000,2020,M09,2020-09-01,147674.0
LNS12000000,2020,M08,2020-08-01,147261.0
LNS12000000,2020,M07,2020-07-01,143787.0
LNS12000000,2020,M06,2020-06-01,142345.0
LNS12000000,2020,M05,2020-05-01,137133.0
LNS12000000,2020,M04,2020-04-01,133185.0
LNS12000000,2020,M03,2020-03-01,155371.0
LNS12000000,2020,M02,2020-02-01,158683.0
LNS12000000,2020,M01,2020-01-01,158486.0
LNS12000000,2019,M12,2019-12-01,158845.0
LNS12000000,2019,M11,2019-11-01,158629.0
LNS12000000,2019,M10,2019-10-01,158545.0
LNS12000000,2019,M09,2019-09-01,158339.0
LNS12000000,2019,M08,2019-08-01,157829.0
LNS12000000,2019,M07,2019-07-01,157529.0
LNS12000000,2019,M06,2019-06-01,157232.0
LNS12000000,2019,M05,2019-05-01,156821.0
LNS12000000,2019,M04,2019-04-01,156625.0
LNS12000000,2019,M03,2019-03-01,156701.0
LNS12000000,2019,M02,2019-02-01,156863.0
LNS12000000,2019,M01,2019-01-01,156487.0
LNS13000000,2024,M11,2024-11-01,7145.0
LNS13000000,2024,M10,2024-10-01,6984.0
LNS13000000,2024,M09,2024-09-01,6834.0
LNS13000000,2024,M08,2024-08-01,7115.0
LNS13000000,2024,M07,2024-07-01,7163.0
LNS13000000,2024,M06,2024-06-01,6811.0
LNS13000000,2024,M05,2024-05-01,6649.0
